"id","building","floor","type","label","lat","lng","uq_maps_identifier"
"1192631","69","7","Office","710 - Office-Academic Staff","-27.49905384993205","153.0125163847554","23e9982ac987c961abc335259eb7db3ab175d5678ccfc5737f7579f0ea14e54b"
"1192632","69","7","stairs","798 - Stairs","-27.498898755254015","153.01242328199297","9f42d4fd30d36e8d8234361f0c152e7bfc80448ebd0a47ff7f9d9830a7c9b202"
"1192633","69","7","Office","715 - Office-Academic Staff","-27.498879419017264","153.01250104304117","a22f291808958159e1e5649965bdc0bbd7bd4881b1f01b76c9f6ff30ce951af2"
"1192634","69","7","Office","712 - Open Plan-Honours/Postgraduate Students","-27.498971448965506","153.01255228157657","27c819b9789b5ea05182c57e77dba8ebbaf1f09468d02cdd06ccf27c1102bf24"
"1192635","69","7","room","728A - COMMS STRUC CABLING SYSTEM ROOM","-27.499017622487965","153.01261150104807","8b06ad51190eed44add2fcc98baeb4b30c5f4f032c4d15e00c5f7e96bbe3d769"
"1192636","69","7","Office","709 - Office-Academic Staff","-27.499081659068278","153.0125034736848","9267ef855bbebead6de6078aa7a91c265563441efae31e8c5c5244ae3cb9eb03"
"1192637","69","7","Office","705 - Open Plan-Research Staff","-27.49906028856472","153.01259608374716","883f12e9980503fec24c77c6d360a2c7d33000b08d8d7ff1b4ff3b3af71dfabe"
"1192638","69","7","Office","728 - Open Plan-Academic Staff","-27.49902874995865","153.01274823576318","502f198719caae9a0e3b396a2557d0ebe6eb44b0b3945467b5997cb5cfcc030d"
"1192639","69","7","Office","707 - Open Plan-Research Staff","-27.499130269359476","153.01256354308393","archibus_0100697707"
"1192640","69","7","Office","706 - Open Plan-Research Staff / Office-Academic Staff","-27.499097014942194","153.0125789889088","archibus_0100697706"
"1192641","69","7","room","727 - Plant Room-Mechanical","-27.49898707742305","153.0126178382137","8eaea074bd780e780da51e8346ccee500468b100f6f58f8e47e663fe6160ccd7"
"1192642","69","7","Office","721 - Office-Academic Staff","-27.498855219375425","153.01274633292314","69f150eed0e12e1ac3933bcc32494a8436868715b3fa06ddc4d63a5a937a7834"
"1192643","69","7","room","796 - Circulation Space","-27.498875440072556","153.01246643231192","2faba1f1efdeff177d3e11613b2b79096619ae735039fb7f95b14579e4e5c509"
"1192644","69","7","room","794 - Circulation Space","-27.49899146681733","153.0127452448906","0b6988c90d4e7e5ff024210f0c907f71ad25af134cf51e5bd48d240ba6661dba"
"1192645","69","7","Office","716 - Office-Academic Staff","-27.498886600049616","153.0125321938161","845f2d42ff6cd190b50060c888701baecb50d683d3e286fc077a92cd9ffd0c30"
"1192646","69","7","room","793 - Circulation Space","-27.499044490797772","153.01270601476125","74d9a641edd1f6d17a357f80e337b380ea3d6219b17abe20c085461198f9599e"
"1192647","69","7","room","792 - Circulation Space","-27.49907849607671","153.01254108425667","b6a5bd799e6217473f2bbe57356a1a05ea0f48538a3a844a84f5fc2a4b17c6e8"
"1192648","69","7","Office","703 - Office-Academic Staff","-27.4990663767432","153.0126779287609","archibus_0100697703"
"1192649","69","7","Office","704 - Office-Academic Staff","-27.49905233326637","153.01265082316246","0d216b7b3561ef9ce6e1ffb234fb25dc136b3a38e15020a487041efb6deef6a1"
"1192650","69","7","Office","722 - Office-Academic Staff","-27.498882847559486","153.01273817894725","6918406acbb01f37328b338055672d326ea417a7bdbf980da8397c6eb19002ac"
"1192651","69","7","elevator","799 - Lift","-27.49885388226718","153.01244016188903","24144c98e2b813feee81352b0e5a20fa74bfca0c67084cf381305b38bc923621"
"1003220761","69","7","room","728C - HYDRAULICS RISER","-27.49895036295874","153.0126348502358","7d5d034fc0c9136602e4aa77f0396772b8616a75d88e2a10c795cb968fa27201"
"1003220762","69","7","stairs","797 - Stairs","-27.498968536155775","153.01272211830306","27aac9dd71be37610d3747204e134cc1ecd46159688dad78c33ddcfbe522c6ce"
"1003220763","69","7","room","791 - Circulation Space","-27.49892322418373","153.0125331584817","1c99379e847b2153854b7f6b2ca096c78bda6221c182ef86fba8f45313b7e6dc"
"1003220764","69","7","room","728D - FIRE RISER","-27.49895558369534","153.0126491406492","48ab9b82be8325c5c27c70d3dd067cb512a52ac287ac655ac508da1a9da607b2"
"1003220765","69","7","room","790 - Circulation Space","-27.498889758140734","153.01269682584604","024b66cdba91af4e4debc27ab25cc89cbd7893ac252c7780617eaee39cc5465b"
"1192575","69","8","Meeting Room","805 - Meeting/Board/Conference Room","-27.498997363842232","153.0126746527805","98e1d152987d4da9eab87d8dccdc1ab1852e3b463356d012b576a0242515ce78"
"1192577","69","8","Meeting Room","812 - Meeting/Board/Conference Room","-27.498906051381862","153.0126397204018","6f38fa3c2a505e5a29a6d75e3254acbae05a91b01ed13de4c57cb0107e642f14"
"1192578","69","8","room","893 - Circulation Space","-27.498973017955862","153.01267652277184","96536379413b2a69fdb3508e557eecf76c8490cd80d97b57e336f95a5929ce8e"
"1192579","69","8","Office","818 - Office-Professional/General Staff","-27.498904452153965","153.01258044268465","70c5bf48881c0be8aba49c53c066c97eddaeec9d9e29e23479b5e24182e15fdb"
"1192581","69","8","room","806 - Resource Room","-27.49903431704636","153.01268575221206","8fb067940a5906378f943a2a4e81182472a7af3a8f25c0adb94956d11f1f7394"
"1192582","69","8","room","826C - HYDRAULICS RISER","-27.498950416965187","153.01263475561996","d50d7f68721cc3e12174ddd04d04ca2a8d01026449e642d25608265322761e6a"
"1192583","69","8","elevator","899 - Lift","-27.498850791860516","153.01244156892156","6159260f8dae4bb42403c192ea600fe0f36adc704c41794d89f0e5af953a2817"
"1192584","69","8","room","826B - COMMS STRUC CABLING SYSTEM ROOM","-27.499017814428562","153.01261114648509","180efece3d0db7bd61093d2aacc7cd8e1f1cf9faff9d7f594ec99f9926081db9"
"1192585","69","8","Office","807 - Open Plan-Professional/General Staff","-27.49906446553493","153.01267262292748","archibus_0100698807"
"1192586","69","8","Meeting Room","803 - Meeting/Board/Conference Room","-27.499015900011347","153.01272423258243","5bae0c647873f469eca809a0766757c393aa2c5f50392a37c045b8604f2fa22c"
"1192587","69","8","Office","810 - Office-Professional/General Staff","-27.49913314836536","153.0125713106286","a583406e203513d5e0cbcfe40252a46bd0ed66d57ff5c7d5985831249a6362c9"
